entity_kind,entity,rank_or_class,param,from_version,to_version,from_value,to_value,abs_delta,pct_delta
taxon,Insecta,class,risk_preference,0.3.1,0.4.0,0.969755,1.030024,0.060269,0.062149
taxon,Insecta,class,temporal_discount_rate,0.3.1,0.4.0,0.734822,0.817345,0.082523,0.112303
taxon,Insecta,class,effort_price_elasticity,0.3.1,0.4.0,-0.681634,-0.719588,0.037954,0.055681
taxon,Insecta,class,cooperation_propensity,0.3.1,0.4.0,0.726161,0.545266,0.180895,0.249111
taxon,Insecta,class,inequity_sensitivity,0.3.1,0.4.0,0.665635,0.625579,0.040056,0.060177
taxon,Insecta,class,punishment_propensity,0.3.1,0.4.0,0.587114,0.538767,0.048347,0.082347
taxon,Insecta,class,tokenization_capacity,0.3.1,0.4.0,0.59356,0.553214,0.040346,0.067973
taxon,Insecta,class,risk_preference,0.4.0,0.5.0,1.030024,1.079265,0.049241,0.047806
taxon,Insecta,class,temporal_discount_rate,0.4.0,0.5.0,0.817345,0.872364,0.055019,0.067314
taxon,Insecta,class,effort_price_elasticity,0.4.0,0.5.0,-0.719588,-0.842668,0.12308,0.171042
taxon,Insecta,class,cooperation_propensity,0.4.0,0.5.0,0.545266,0.551233,0.005967,0.010943
taxon,Insecta,class,inequity_sensitivity,0.4.0,0.5.0,0.625579,0.568401,0.057178,0.0914
taxon,Insecta,class,punishment_propensity,0.4.0,0.5.0,0.538767,0.479274,0.059493,0.110424
taxon,Insecta,class,tokenization_capacity,0.4.0,0.5.0,0.553214,0.474508,0.078706,0.14227
taxon,Malacostraca,class,risk_preference,0.3.0,0.3.1,1.110949,1.110949,0.0,0.0
taxon,Malacostraca,class,temporal_discount_rate,0.3.0,0.3.1,0.748908,0.748908,0.0,0.0
taxon,Malacostraca,class,effort_price_elasticity,0.3.0,0.3.1,-1.166723,-1.166723,0.0,0.0
taxon,Malacostraca,class,cooperation_propensity,0.3.0,0.3.1,0.488074,0.488074,0.0,0.0
taxon,Malacostraca,class,inequity_sensitivity,0.3.0,0.3.1,0.553219,0.553219,0.0,0.0
taxon,Malacostraca,class,punishment_propensity,0.3.0,0.3.1,0.445667,0.445667,0.0,0.0
taxon,Malacostraca,class,tokenization_capacity,0.3.0,0.3.1,0.4877,0.4877,0.0,0.0
taxon,Malacostraca,class,risk_preference,0.3.1,0.4.0,1.110949,1.046395,0.064554,0.058107
taxon,Malacostraca,class,temporal_discount_rate,0.3.1,0.4.0,0.748908,0.707102,0.041806,0.055823
taxon,Malacostraca,class,effort_price_elasticity,0.3.1,0.4.0,-1.166723,-1.17521,0.008487,0.007274
taxon,Malacostraca,class,cooperation_propensity,0.3.1,0.4.0,0.488074,0.547229,0.059155,0.121201
taxon,Malacostraca,class,inequity_sensitivity,0.3.1,0.4.0,0.553219,0.603683,0.050464,0.091219
taxon,Malacostraca,class,punishment_propensity,0.3.1,0.4.0,0.445667,0.516588,0.070921,0.159135
taxon,Malacostraca,class,tokenization_capacity,0.3.1,0.4.0,0.4877,0.540538,0.052838,0.108341
taxon,Malacostraca,class,risk_preference,0.4.0,0.5.0,1.046395,1.133525,0.08713,0.083267
